amenaza,control,nombre_control,aplica,madurez_actual,controles_de_la_amenaza,RELEVANCIA
A.24,A.5.26,"Respuesta a incidentes de seguridad de la información",Aplica,4,4,
A.24,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,4,
A.24,A.8.20,"Seguridad de las redes",Aplica,4,4,
A.24,A.8.6,"Gestión de la capacidad",Aplica,3,4,
A.25,A.7.10,"Medios de almacenamiento",Aplica,3,5,
A.25,A.7.2,"Controles de entrada física",No aplica,,5,
A.25,A.7.9,"Seguridad de los activos fuera de las instalaciones",Aplica,3,5,
A.25,A.8.1,"Dispositivos de punto final del usuario",Aplica,4,5,
A.25,A.8.24,"Uso de criptografía",Aplica,3,5,
A.26,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
A.26,A.7.1,"Perímetros de seguridad física",No aplica,,4,
A.26,A.7.2,"Controles de entrada física",No aplica,,4,
A.26,A.7.4,"Monitoreo de seguridad física",No aplica,,4,
A.27,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
A.27,A.7.1,"Perímetros de seguridad física",No aplica,,4,
A.27,A.7.2,"Controles de entrada física",No aplica,,4,
A.27,A.7.6,"Trabajo en áreas seguras",No aplica,,4,
A.28,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
A.28,A.5.4,"Responsabilidades de la dirección",Aplica,4,4,
A.28,A.6.4,"Proceso disciplinario",Aplica,3,4,
A.28,A.6.5,"Responsabilidades ante la finalización o cambio de empleo",Aplica,3,4,
A.29,A.5.26,"Respuesta a incidentes de seguridad de la información",Aplica,4,6,
A.29,A.5.5,"Contacto con autoridades",Aplica,2,6,
A.29,A.6.2,"Términos y condiciones de empleo",Aplica,3,6,
A.29,A.6.3,"Concienciación, educación y capacitación",Aplica,3,6,
A.29,A.6.4,"Proceso disciplinario",Aplica,3,6,
A.29,A.6.6,"Acuerdos de confidencialidad o no divulgación",Aplica,4,6,
A.3,A.5.28,"Recolección de evidencia",Aplica,3,4,
A.3,A.5.33,"Protección de registros",Aplica,3,4,
A.3,A.8.15,"Registro de eventos (logging)",Aplica,4,4,
A.3,A.8.2,"Derechos de acceso privilegiado",Aplica,3,4,
A.30,A.5.14,"Transferencia de información",Aplica,3,7,
A.30,A.5.17,"Información de autenticación",Aplica,4,7,
A.30,A.5.6,"Contacto con grupos de interés especial",Aplica,2,7,
A.30,A.5.7,"Inteligencia de amenazas",Aplica,3,7,
A.30,A.6.3,"Concienciación, educación y capacitación",Aplica,3,7,
A.30,A.6.8,"Reporte de eventos de seguridad de la información",Aplica,3,7,
A.30,A.8.5,"Autenticación segura",Aplica,4,7,
A.4,A.8.16,"Actividades de monitoreo",Aplica,4,4,
A.4,A.8.2,"Derechos de acceso privilegiado",Aplica,3,4,
A.4,A.8.32,"Gestión de cambios",Aplica,3,4,
A.4,A.8.9,"Gestión de la configuración",Aplica,3,4,
A.5,A.5.16,"Gestión de identidades",Aplica,4,5,
A.5,A.5.17,"Información de autenticación",Aplica,4,5,
A.5,A.6.3,"Concienciación, educación y capacitación",Aplica,3,5,
A.5,A.8.2,"Derechos de acceso privilegiado",Aplica,3,5,
A.5,A.8.5,"Autenticación segura",Aplica,4,5,
A.6,A.5.18,"Derechos de acceso",Aplica,4,6,
A.6,A.5.3,"Segregación de funciones",Aplica,3,6,
A.6,A.8.16,"Actividades de monitoreo",Aplica,4,6,
A.6,A.8.18,"Uso de programas utilitarios privilegiados",Aplica,3,6,
A.6,A.8.2,"Derechos de acceso privilegiado",Aplica,3,6,
A.6,A.8.34,"Protección de los sistemas de información durante auditorías",Aplica,2,6,
A.7,A.5.10,"Uso aceptable de la información y otros activos asociados",Aplica,3,4,
A.7,A.5.36,"Cumplimiento de políticas, reglas y normas de seguridad",Aplica,3,4,
A.7,A.8.19,"Instalación de software en sistemas operativos",Aplica,4,4,
A.7,A.8.23,"Filtrado web",Aplica,4,4,
A.8,A.5.24,"Planificación y preparación de la gestión de incidentes",Aplica,4,8,
A.8,A.5.26,"Respuesta a incidentes de seguridad de la información",Aplica,4,8,
A.8,A.5.27,"Aprendizaje de los incidentes de seguridad",Aplica,4,8,
A.8,A.5.7,"Inteligencia de amenazas",Aplica,3,8,
A.8,A.8.13,"Respaldo de la información",Aplica,4,8,
A.8,A.8.19,"Instalación de software en sistemas operativos",Aplica,4,8,
A.8,A.8.7,"Protección contra software malicioso",Aplica,4,8,
A.8,A.8.8,"Gestión de vulnerabilidades técnicas",Aplica,4,8,
A.9,A.8.20,"Seguridad de las redes",Aplica,4,4,
A.9,A.8.21,"Seguridad de los servicios de red",Aplica,3,4,
A.9,A.8.22,"Segregación de redes",Aplica,4,4,
A.9,A.8.24,"Uso de criptografía",Aplica,3,4,
E.1,A.5.1,"Políticas de seguridad de la información",Aplica,3,7,
E.1,A.5.10,"Uso aceptable de la información y otros activos asociados",Aplica,3,7,
E.1,A.5.12,"Clasificación de la información",Aplica,4,7,
E.1,A.6.2,"Términos y condiciones de empleo",Aplica,3,7,
E.1,A.6.3,"Concienciación, educación y capacitación",Aplica,3,7,
E.1,A.8.12,"Prevención de fuga de datos (DLP)",Aplica,3,7,
E.1,A.8.5,"Autenticación segura",Aplica,4,7,
E.10,A.5.8,"Seguridad de la información en la gestión de proyectos",Aplica,3,5,
E.10,A.8.25,"Ciclo de vida de desarrollo seguro",Aplica,4,5,
E.10,A.8.27,"Arquitectura de sistemas seguros y principios de ingeniería",Aplica,3,5,
E.10,A.8.29,"Pruebas de seguridad en desarrollo y aceptación",Aplica,3,5,
E.10,A.8.32,"Gestión de cambios",Aplica,3,5,
E.14,A.5.13,"Etiquetado de la información",Aplica,4,6,
E.14,A.5.14,"Transferencia de información",Aplica,3,6,
E.14,A.5.8,"Seguridad de la información en la gestión de proyectos",Aplica,3,6,
E.14,A.7.7,"Escritorio despejado y pantalla despejada",Aplica,3,6,
E.14,A.8.11,"Enmascaramiento de datos",Aplica,2,6,
E.14,A.8.12,"Prevención de fuga de datos (DLP)",Aplica,3,6,
E.15,A.5.33,"Protección de registros",Aplica,3,5,
E.15,A.5.35,"Revisión independiente de la seguridad de la información",Aplica,3,5,
E.15,A.8.13,"Respaldo de la información",Aplica,4,5,
E.15,A.8.3,"Restricción del acceso a la información",Aplica,4,5,
E.15,A.8.9,"Gestión de la configuración",Aplica,3,5,
E.18,A.5.33,"Protección de registros",Aplica,3,4,
E.18,A.8.10,"Borrado de información",Aplica,3,4,
E.18,A.8.13,"Respaldo de la información",Aplica,4,4,
E.18,A.8.3,"Restricción del acceso a la información",Aplica,4,4,
E.19,A.5.14,"Transferencia de información",Aplica,3,6,
E.19,A.5.31,"Requisitos legales, estatutarios, reglamentarios y contractuales",Aplica,3,6,
E.19,A.5.34,"Privacidad y protección de datos personales (PII)",Aplica,3,6,
E.19,A.8.11,"Enmascaramiento de datos",Aplica,2,6,
E.19,A.8.12,"Prevención de fuga de datos (DLP)",Aplica,3,6,
E.19,A.8.33,"Información de prueba",Aplica,2,6,
E.2,A.5.3,"Segregación de funciones",Aplica,3,7,
E.2,A.5.9,"Inventario de información y otros activos asociados",Aplica,4,7,
E.2,A.8.15,"Registro de eventos (logging)",Aplica,4,7,
E.2,A.8.2,"Derechos de acceso privilegiado",Aplica,3,7,
E.2,A.8.32,"Gestión de cambios",Aplica,3,7,
E.2,A.8.34,"Protección de los sistemas de información durante auditorías",Aplica,2,7,
E.2,A.8.9,"Gestión de la configuración",Aplica,3,7,
E.20,A.8.25,"Ciclo de vida de desarrollo seguro",Aplica,4,6,
E.20,A.8.27,"Arquitectura de sistemas seguros y principios de ingeniería",Aplica,3,6,
E.20,A.8.28,"Codificación segura",Aplica,4,6,
E.20,A.8.29,"Pruebas de seguridad en desarrollo y aceptación",Aplica,3,6,
E.20,A.8.30,"Desarrollo contratado externamente",Aplica,2,6,
E.20,A.8.8,"Gestión de vulnerabilidades técnicas",Aplica,4,6,
E.21,A.8.19,"Instalación de software en sistemas operativos",Aplica,4,4,
E.21,A.8.31,"Separación de entornos de desarrollo, prueba y producción",Aplica,4,4,
E.21,A.8.32,"Gestión de cambios",Aplica,3,4,
E.21,A.8.8,"Gestión de vulnerabilidades técnicas",Aplica,4,4,
E.23,A.7.13,"Mantenimiento de los equipos",Aplica,3,3,
E.23,A.8.32,"Gestión de cambios",Aplica,3,3,
E.23,A.8.9,"Gestión de la configuración",Aplica,3,3,
E.24,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,3,
E.24,A.8.16,"Actividades de monitoreo",Aplica,4,3,
E.24,A.8.6,"Gestión de la capacidad",Aplica,3,3,
E.25,A.5.11,"Devolución de activos",Aplica,3,5,
E.25,A.7.10,"Medios de almacenamiento",Aplica,3,5,
E.25,A.7.9,"Seguridad de los activos fuera de las instalaciones",Aplica,3,5,
E.25,A.8.1,"Dispositivos de punto final del usuario",Aplica,4,5,
E.25,A.8.24,"Uso de criptografía",Aplica,3,5,
E.28,A.5.2,"Roles y responsabilidades de la seguridad de la información",Aplica,3,7,
E.28,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,7,
E.28,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,7,
E.28,A.5.8,"Seguridad de la información en la gestión de proyectos",Aplica,3,7,
E.28,A.6.1,"Investigación de antecedentes (screening)",Aplica,3,7,
E.28,A.6.2,"Términos y condiciones de empleo",Aplica,3,7,
E.28,A.6.5,"Responsabilidades ante la finalización o cambio de empleo",Aplica,3,7,
E.3,A.5.24,"Planificación y preparación de la gestión de incidentes",Aplica,4,5,
E.3,A.5.25,"Evaluación y decisión sobre eventos de seguridad",Aplica,4,5,
E.3,A.8.15,"Registro de eventos (logging)",Aplica,4,5,
E.3,A.8.16,"Actividades de monitoreo",Aplica,4,5,
E.3,A.8.17,"Sincronización de relojes",Aplica,3,5,
E.4,A.8.31,"Separación de entornos de desarrollo, prueba y producción",Aplica,4,4,
E.4,A.8.32,"Gestión de cambios",Aplica,3,4,
E.4,A.8.8,"Gestión de vulnerabilidades técnicas",Aplica,4,4,
E.4,A.8.9,"Gestión de la configuración",Aplica,3,4,
E.7,A.5.1,"Políticas de seguridad de la información",Aplica,3,8,
E.7,A.5.2,"Roles y responsabilidades de la seguridad de la información",Aplica,3,8,
E.7,A.5.3,"Segregación de funciones",Aplica,3,8,
E.7,A.5.35,"Revisión independiente de la seguridad de la información",Aplica,3,8,
E.7,A.5.36,"Cumplimiento de políticas, reglas y normas de seguridad",Aplica,3,8,
E.7,A.5.37,"Procedimientos operativos documentados",Aplica,4,8,
E.7,A.5.4,"Responsabilidades de la dirección",Aplica,4,8,
E.7,A.5.9,"Inventario de información y otros activos asociados",Aplica,4,8,
E.8,A.5.7,"Inteligencia de amenazas",Aplica,3,5,
E.8,A.6.3,"Concienciación, educación y capacitación",Aplica,3,5,
E.8,A.8.19,"Instalación de software en sistemas operativos",Aplica,4,5,
E.8,A.8.23,"Filtrado web",Aplica,4,5,
E.8,A.8.7,"Protección contra software malicioso",Aplica,4,5,
E.9,A.8.20,"Seguridad de las redes",Aplica,4,4,
E.9,A.8.21,"Seguridad de los servicios de red",Aplica,3,4,
E.9,A.8.22,"Segregación de redes",Aplica,4,4,
E.9,A.8.9,"Gestión de la configuración",Aplica,3,4,
I.*,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
I.*,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,4,
I.*,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,4,
I.*,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,4,
I.1,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,5,
I.1,A.7.11,"Servicios de suministro",No aplica,,5,
I.1,A.7.3,"Seguridad de oficinas, recintos e instalaciones",No aplica,,5,
I.1,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,5,
I.1,A.8.13,"Respaldo de la información",Aplica,4,5,
I.10,A.7.10,"Medios de almacenamiento",Aplica,3,3,
I.10,A.7.14,"Eliminación o reutilización segura de equipos",Aplica,2,3,
I.10,A.8.13,"Respaldo de la información",Aplica,4,3,
I.11,A.7.12,"Seguridad del cableado",No aplica,,3,
I.11,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,3,
I.11,A.8.24,"Uso de criptografía",Aplica,3,3,
I.2,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,3,
I.2,A.7.8,"Ubicación y protección de los equipos",Aplica,2,3,
I.2,A.8.13,"Respaldo de la información",Aplica,4,3,
I.3,A.7.13,"Mantenimiento de los equipos",Aplica,3,3,
I.3,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,3,
I.3,A.7.8,"Ubicación y protección de los equipos",Aplica,2,3,
I.4,A.7.12,"Seguridad del cableado",No aplica,,3,
I.4,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,3,
I.4,A.7.8,"Ubicación y protección de los equipos",Aplica,2,3,
I.5,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,5,
I.5,A.7.13,"Mantenimiento de los equipos",Aplica,3,5,
I.5,A.8.13,"Respaldo de la información",Aplica,4,5,
I.5,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,5,
I.5,A.8.6,"Gestión de la capacidad",Aplica,3,5,
I.6,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,4,
I.6,A.7.11,"Servicios de suministro",No aplica,,4,
I.6,A.8.13,"Respaldo de la información",Aplica,4,4,
I.6,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,4,
I.7,A.7.11,"Servicios de suministro",No aplica,,3,
I.7,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,3,
I.7,A.7.8,"Ubicación y protección de los equipos",Aplica,2,3,
I.8,A.5.22,"Seguimiento, revisión y gestión de cambios de servicios de proveedores",Aplica,2,4,
I.8,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,4,
I.8,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,4,
I.8,A.8.21,"Seguridad de los servicios de red",Aplica,3,4,
I.9,A.5.19,"Seguridad de la información en las relaciones con proveedores",Aplica,3,6,
I.9,A.5.20,"Tratamiento de la seguridad en los acuerdos con proveedores",Aplica,3,6,
I.9,A.5.22,"Seguimiento, revisión y gestión de cambios de servicios de proveedores",Aplica,2,6,
I.9,A.5.23,"Seguridad de la información para el uso de servicios en la nube",Aplica,3,6,
I.9,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,6,
I.9,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,6,
N.*,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,5,
N.*,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,5,
N.*,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,5,
N.*,A.8.13,"Respaldo de la información",Aplica,4,5,
N.*,A.8.14,"Redundancia de las instalaciones de procesamiento",Aplica,3,5,
N.1,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,6,
N.1,A.5.30,"Preparación de las TIC para la continuidad del negocio",Aplica,3,6,
N.1,A.7.11,"Servicios de suministro",No aplica,,6,
N.1,A.7.3,"Seguridad de oficinas, recintos e instalaciones",No aplica,,6,
N.1,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,6,
N.1,A.8.13,"Respaldo de la información",Aplica,4,6,
N.2,A.5.29,"Seguridad de la información durante la disrupción",Aplica,2,4,
N.2,A.7.5,"Protección contra amenazas físicas y ambientales",Aplica,2,4,
N.2,A.7.8,"Ubicación y protección de los equipos",Aplica,2,4,
N.2,A.8.13,"Respaldo de la información",Aplica,4,4,
